Id;Price;Size;Color;Brand;Country;Material;Gems
1;651;16;Blue;Sarah Haran;Brazil;gold;true
2;5343;17;Green;Bennett Winch;Belgium;silver;false
3;3544;20;White;Elytra England;Austria;silver;true
4;75748;18;Red;Jardine of London;Brazil;gold;false
5;3757;20;Yellow;Lellie Bags;Belgium;gold;false
6;6469;17;Black;Code;Austria;silver;true
7;25158;17;Green;Ferian;Brazil;silver;true
8;9184;15;White;Branco;Belgium;silver;false
9;6878;15;Red;Teal;Austria;gold;true
10;6878;16;Yellow;Red Meg;Austria;gold;false
