Id;Price;Size;Color;Brand;Country;UnderMaterial;UpMaterial;Heel
1;5946;39;Green;Loake;Austria;fabric;leather;yes
2;5154;36;White;Grenson;Canada;leather;suede;yes
3;15865;37;Red;Tricker’s;Argentina;fabric;nubuck;no
4;1866;38;Yellow;Clarks;Brazil;leather;nubuck;yes
5;1545;38;Green;Barker;Belgium;leather;nubuck;no
6;537;39;White;Cheaney;Argentina;fabric;suede;no
7;564;36;Red;Solovair;Brazil;fabric;leather;yes
8;5164;40;Yellow;Sleep;Belgium;leather;suede;yes
9;568;36;Green;Arthur;Canada;fabric;leather;no
10;678;39;White;Solovair;Canada;fabric;leather;yes
